Year,Foal Count,Avg Price,High Price,Low Price,Total
1982,50,325,600,125,15000
1983,45,200,500,125,9200
1984,47,212,500,125,10000
1985,50,225,500,125,17000
1986,60,222,825,125,13600
1987,69,306,1200,125,21000
1988,84,317,1200,125,28000
1989,77,527,2500,125,40275
1990,72,406,2200,200,29250
1991,87,410,2200,175,35725
1992,87,414,800,200,36000
1993,87,676,400,1600,58800
1994,67,975,3000,300,65400
1995,78,1012,2200,400,78950
1996,74,1756,6000,1750,131200
1997,92,1672,4300,500,153800
1998,90,2000,7000,500,155800
1999,86,1620,4200,800,139400
2000,84,2060,7500,1300,173085
2001,85,1961,10500,1000,166725
2002,89,1818,7800,950,161800
2003,71,1799,6600,1000,127700
2004,74,1618,4000,850,119750
2005,66,2255,8000,900,148850
2006,78,2151,7500,350,167750
2007,73,2442,17500,700,178300
2008,74,1414,9500,400,104625
2009,70,1344,11700,500,94100
2010,59,1310,8100,375,77275
2011,67,1442,6700,450,99500
2012,69,1436,7000,400,96252
2013,55,2000,12000,650,113975
2014,54,2772,21000,700,149700
2015,61,2780,25000,500,169576
2016,57,2659,11000,550,151550
2017,62,3387,15000,1100,210000
2018,53,4310,20000,1000,228500
2019,57,4767,17000,1400,271700
2020,68,5706,28250,1800,388000
2021,74,5634,25500,2400,416950
2022,63,7146,32000,2500,450200
2023,71,6792,43000,1800,479000
2024,88,6223,50000,1600,547300
